,id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores,home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores,away_post_win_prob,excitement_index
48,212440145,2001,2,regular,2001-09-01T19:00:00.000Z,,False,False,46310.0,3974.0,Vaught-Hemingway Stadium,145,Ole Miss,SEC,49,"[14, 14, 14, 7]",,93,Murray State,,14,"[7, 0, 7, 0]",,
49,212440151,2001,2,regular,2001-09-01T19:00:00.000Z,,False,True,36794.0,3699.0,Dowdy-Ficklen Stadium,151,East Carolina,Conference USA,19,"[0, 7, 6, 6]",,154,Wake Forest,ACC,21,"[5, 10, 0, 6]",,
50,212440057,2001,2,regular,2001-09-01T19:15:00.000Z,,False,False,85445.0,,,57,Florida,SEC,49,"[21, 14, 0, 14]",,276,Marshall,Mid-American,14,"[0, 0, 6, 8]",,
51,212440142,2001,2,regular,2001-09-01T19:30:00.000Z,,False,False,51039.0,3838.0,Faurot Field,142,Missouri,Big 12,13,"[3, 0, 3, 7]",,189,Bowling Green,Mid-American,20,"[7, 0, 0, 13]",,
52,212440333,2001,2,regular,2001-09-01T19:45:00.000Z,,False,False,83818.0,3657.0,Bryant Denny Stadium,333,Alabama,SEC,17,"[7, 3, 0, 7]",,26,UCLA,Pac-10,20,"[0, 7, 13, 0]",,
53,212440248,2001,2,regular,2001-09-01T20:00:00.000Z,,False,False,23985.0,453.0,Robertson Stadium,248,Houston,Conference USA,14,"[0, 0, 7, 7]",,242,Rice,Western Athletic,21,"[0, 7, 7, 7]",,
54,212440213,2001,2,regular,2001-09-01T20:00:00.000Z,,False,False,109313.0,3632.0,Beaver Stadium,213,Penn State,Big Ten,7,"[0, 0, 0, 7]",,2390,Miami,Big East,33,"[13, 17, 0, 3]",,
55,212440254,2001,2,regular,2001-09-01T20:00:00.000Z,,False,False,36557.0,,,254,Utah,Mountain West,23,[],,328,Utah State,FBS Independents,19,[],,
56,212442348,2001,2,regular,2001-09-01T20:00:00.000Z,,False,True,22505.0,,,2348,Louisiana Tech,Western Athletic,36,[],,2567,SMU,Western Athletic,6,[],,
57,212442483,2001,2,regular,2001-09-01T20:00:00.000Z,,False,True,45919.0,3626.0,Autzen Stadium,2483,Oregon,Pac-10,31,"[10, 0, 14, 7]",,275,Wisconsin,Big Ten,28,"[0, 7, 14, 7]",,
58,212440099,2001,2,regular,2001-09-01T20:00:00.000Z,,False,False,91782.0,3958.0,Tiger Stadium,99,LSU,SEC,48,"[7, 27, 7, 7]",,2655,Tulane,Conference USA,17,"[3, 7, 7, 0]",,
59,212440167,2001,2,regular,2001-09-01T20:05:00.000Z,,False,False,41771.0,3971.0,University Stadium,167,New Mexico,Mountain West,26,[],,2638,UTEP,Western Athletic,6,[],,
60,212440249,2001,2,regular,2001-09-01T20:05:00.000Z,,False,False,22837.0,,,249,North Texas,Sun Belt,5,[],,2628,TCU,Conference USA,19,[],,
61,212440252,2001,2,regular,2001-09-01T21:00:00.000Z,,False,False,56286.0,3801.0,LaVell Edwards Stadium,252,BYU,Mountain West,52,[],,2440,Nevada,Western Athletic,7,[],,
62,212452132,2001,2,regular,2001-09-02T14:30:00.000Z,,False,True,35097.0,3854.0,Nippert Stadium,2132,Cincinnati,Conference USA,14,"[7, 0, 7, 0]",,2509,Purdue,Big Ten,19,"[7, 6, 6, 0]",,
63,212450278,2001,2,regular,2001-09-02T21:30:00.000Z,,False,False,42410.0,3660.0,Bulldog Stadium,278,Fresno State,Western Athletic,44,"[10, 7, 14, 13]",,204,Oregon State,Pac-10,24,"[0, 10, 0, 14]",,
64,212460344,2001,2,regular,2001-09-03T19:00:00.000Z,,False,False,45662.0,3693.0,Davis Wade Stadium,344,Mississippi State,SEC,30,"[0, 0, 14, 16]",,235,Memphis,Conference USA,10,"[0, 3, 7, 0]",,
65,212490152,2001,3,regular,2001-09-06T19:30:00.000Z,,False,True,51500.0,3670.0,Carter-Finley Stadium,152,NC State,ACC,35,"[6, 15, 7, 7]",,84,Indiana,Big Ten,14,"[0, 0, 0, 14]",,
66,212492751,2001,3,regular,2001-09-06T22:00:00.000Z,,False,False,18131.0,3984.0,War Memorial Stadium,2751,Wyoming,Mountain West,20,"[7, 7, 6, 0]",,245,Texas A&M,Big 12,28,"[7, 14, 0, 7]",,
